Date,Open,High,Low,Close,Volume,Adj Close
01/04/2015,88.8,92.5,85.75,87.48,8095200,86.5248
01/05/2015,87.48,91,85.26,86.93,4742400,85.9808
01/06/2015,86.35,88.25,83.67,86.24,5631800,85.2983
01/07/2015,86.3,89.87,84,84.8,5040600,84.1163
03/08/2015,84.7,86.69,72.19,80.41,7684900,79.7617
01/09/2015,78.99,83.18,76.01,82.8,4997800,82.1324
01/10/2015,83.5,92,81.95,88.95,6082900,88.2329
02/11/2015,88.95,96.59,88.02,89.49,5782800,89.0378
01/12/2015,88.91,97,87.01,94.99,4800700,94.51
01/01/2016,94.99,95.34,82.89,94.63,8269600,94.1518
01/02/2016,94.63,94.63,85.01,91.62,4456200,91.62
01/03/2016,91.89,99.9,91.76,97.43,5702600,97.43
01/04/2016,97.28,98.79,97.11,98,7866800,98
